CUST_F_NAME,CUST_M_NAME,CUST_L_NAME,CUST_SSN,CUST_STREET,CUST_CITY,CUST_STATE,CUST_COUNTRY,CUST_ZIP,CUST_PHONE,CUST_EMAIL,APT_NO
German,pan,Zelaya,202132,7 Shenstone St,Campinas,Part of earth,Brazil,132,1366210656,german@hotmail.com,234
Milly,jaq,Savidge,202133,129 Alexander Pope St,Eugene,Part of earth,USA,133,1421132652,milly@gmail.com,235
Luis,sqre,Ear,202134,2 Birchfield Rd,Caracas,Part of earth,Venezuela,134,1405648623,luis@hotmail.com,236
Ciara,KIA,Cobbley,202135,7523 Kempton Rd,Rio de Janeiro,part of brazil,Brazil,135,1809443217,ciara_cobbley@hotmail.com,237
Alethea,marie,Mould,202136,6305 Elstow St,San Cristóbal,city in venezuela,Venezuela,136,1351868965,alethea@hotmail.com,238
Margurite,da,Loperfido,202137,218 Greenbank Drive,Elgin,city in illinois,USA,137,1640661191,mloperfido@gmail.com,239
Vernice,ure,Sperazza,202138,8921 Forge St,Cork,city of Republic of ireland,Ireland,138,1765519419,vernice@yahoo.com,240
Vicente,da,Rawicki,202139,3060 St Ambrose Grove #261,Cowes,town in ENGLAND,UK,139,1286258121,vicente_rawicki@hotmail.com,241
Craig,ie,Cua,202140,8388 Bessemer St #5,Brandenburg,town in germany,Germany,140,1818980469,craig@hotmail.com,242
Jenise,wer,Dulle,202141,87 Pownall Sq,Versailles,city of france,France,141,1572593368,jenise.dulle@hotmail.com,243
Marylin,da,Cornelison,202142,39 Wye St,Toulouse,city of france,France,142,1295331807,marylin_cornelison@yahoo.com,244
Marget,ser,Gunst,202143,2732 Bostock St #1,Vancouver,city of canada,Canada,143,6512975244,mgunst@yahoo.com,245
Annett,sja,Bunselmeyer,202144,5562 Fairfield St #847,Walla Walla,City of washington state,USA,144,3335972244,abunselmeyer@hotmail.com,246
Kip,geoj,Turziano,202145,37 Meadow St,Frankfurt a.M. ,central german city,Germany,145,1222164469,kip.turziano@yahoo.com,247
